,Unnamed: 0,index,LOCATION,TIME,Japan_unemployment_rate,time_close,BTC_closing_price,yfit,xfit
50,,,,,,,,2.7062179962555715,2221.2403303303304
51,,,,,,,,2.701651548129589,2262.5736036036037
52,,,,,,,,2.697150163529898,2303.906876876877
53,,,,,,,,2.692713485917218,2345.2401501501504
54,,,,,,,,2.688341159523149,2386.5734234234233
55,,,,,,,,2.684032829350171,2427.9066966966966
56,,,,,,,,2.6797881411716435,2469.23996996997
57,,,,,,,,2.6756067415318068,2510.5732432432433
58,,,,,,,,2.6714882777457802,2551.9065165165166
59,,,,,,,,2.6674323978995633,2593.23978978979
60,,,,,,,,2.6634387508500357,2634.5730630630633
61,,,,,,,,2.659506986224957,2675.906336336336
62,,,,,,,,2.6556367544229666,2717.2396096096095
63,,,,,,,,2.6518277066135845,2758.572882882883
64,,,,,,,,2.6480794947372095,2799.906156156156
65,,,,,,,,2.6443917715051213,2841.2394294294295
66,,,,,,,,2.640764190399479,2882.572702702703
67,,,,,,,,2.637196405673323,2923.905975975976
68,,,,,,,,2.6336880723505707,2965.239249249249
69,,,,,,,,2.630238846226023,3006.5725225225224
70,,,,,,,,2.626848383865358,3047.9057957957957
71,,,,,,,,2.6235163426051353,3089.239069069069
72,,,,,,,,2.620242380552794,3130.5723423423424
73,,,,,,,,2.617026156586653,3171.9056156156157
74,,,,,,,,2.613867330355912,3213.238888888889
75,,,,,,,,2.6107655622806485,3254.572162162162
76,,,,,,,,2.607720513551823,3295.9054354354353
77,,,,,,,,2.6047318461312736,3337.2387087087086
78,,,,,,,,2.6017992227517195,3378.571981981982
79,,,,,,,,2.5989223069167586,3419.9052552552553
80,,,,,,,,2.596100762900871,3461.2385285285286
81,,,,,,,,2.5933342557494146,3502.571801801802
82,,,,,,,,2.5906224512786284,3543.905075075075
83,,,,,,,,2.5879650160756307,3585.238348348348
84,,,,,,,,2.5853616174984206,3626.5716216216215
85,,,,,,,,2.582811923675876,3667.904894894895
86,,,,,,,,2.580315603507756,3709.238168168168
87,,,,,,,,2.577872326664699,3750.5714414414415
88,,,,,,,,2.575481763588223,3791.904714714715
89,,,,,,,,2.5731435854907265,3833.2379879879877
90,,,,,,,,2.5708574643554885,3874.571261261261
91,,,,,,,,2.5686230729366666,3915.9045345345344
92,,,,,,,,2.566440084759299,3957.2378078078077
93,,,,,,,,2.5643081741193043,3998.571081081081
94,,,,,,,,2.562227016083481,4039.9043543543544
95,,,,,,,,2.5601962864895063,4081.2376276276277
96,,,,,,,,2.5582156619459395,4122.570900900901
97,,,,,,,,2.556284819832217,4163.904174174174
98,,,,,,,,2.5544034382986585,4205.237447447447
99,,,,,,,,2.552571196266461,4246.570720720721
100,,,,,,,,2.5507877734277025,4287.903993993994
101,,,,,,,,2.549052850245342,4329.237267267267
102,,,,,,,,2.547366107953215,4370.570540540541
103,,,,,,,,2.5457272285560415,4411.903813813814
104,,,,,,,,2.5441358948294184,4453.237087087087
105,,,,,,,,2.542591790319823,4494.570360360361
106,,,,,,,,2.541094599344614,4535.903633633634
107,,,,,,,,2.5396440069920283,4577.236906906906
108,,,,,,,,2.5382396991211835,4618.57018018018
