,Unnamed: 0,LOCATION,TIME,Japan_inflation_rate,index,time_close,ETH_closing_price,yfit,xfit
231,,,,,,,,0.39117838540711763,782.0968349149149
232,,,,,,,,0.39114722771713073,785.453488341675
233,,,,,,,,0.3911148930189372,788.8101417684351
234,,,,,,,,0.3910813433296742,792.1667951951952
235,,,,,,,,0.3910465396653064,795.5234486219553
236,,,,,,,,0.39101044202101387,798.8801020487153
237,,,,,,,,0.39097300935137347,802.2367554754754
238,,,,,,,,0.39093419955033754,805.5934089022355
239,,,,,,,,0.3908939694310105,808.9500623289956
240,,,,,,,,0.3908522747052275,812.3067157557558
241,,,,,,,,0.3908090699629364,815.6633691825159
242,,,,,,,,0.39076430865138717,819.020022609276
243,,,,,,,,0.3907179430541305,822.3766760360361
244,,,,,,,,0.39066992426982944,825.7333294627962
245,,,,,,,,0.3906202021908873,829.0899828895563
246,,,,,,,,0.3905687254818948,832.4466363163164
247,,,,,,,,0.3905154415579002,835.8032897430764
248,,,,,,,,0.3904602965625065,839.1599431698365
249,,,,,,,,0.390403235345799,842.5165965965966
250,,,,,,,,0.39034420144210735,845.8732500233567
251,,,,,,,,0.3902831370476068,849.2299034501168
252,,,,,,,,0.3902199829977624,852.5865568768769
253,,,,,,,,0.39015467874462056,855.943210303637
254,,,,,,,,0.3900871623339537,859.2998637303971
255,,,,,,,,0.39001737038226114,862.6565171571572
256,,,,,,,,0.38994523805363296,866.0131705839173
257,,,,,,,,0.3898706990364807,869.3698240106773
258,,,,,,,,0.389793685520141,872.7264774374374
259,,,,,,,,0.3897141281713574,876.0831308641975
260,,,,,,,,0.38963195611064627,879.4397842909576
261,,,,,,,,0.389547096888552,882.7964377177177
262,,,,,,,,0.38945947646179885,886.1530911444778
263,,,,,,,,0.3893690191693442,889.5097445712379
264,,,,,,,,0.3892756477083406,892.866397997998
265,,,,,,,,0.38917928311001304,896.2230514247581
266,,,,,,,,0.38907984471545776,899.5797048515182
267,,,,,,,,0.3889772501513703,902.9363582782782
268,,,,,,,,0.3888714153057094,906.2930117050383
269,,,,,,,,0.38876225430330397,909.6496651317984
270,,,,,,,,0.3886496794814115,913.0063185585585
271,,,,,,,,0.3885336013652344,916.3629719853186
272,,,,,,,,0.3884139286434035,919.7196254120787
273,,,,,,,,0.3882905681434356,923.0762788388389
274,,,,,,,,0.38816342480717425,926.432932265599
275,,,,,,,,0.3880324016662216,929.7895856923591
276,,,,,,,,0.3878973998173707,933.1462391191192
277,,,,,,,,0.38775831839804625,936.5028925458793
278,,,,,,,,0.3876150545617639,939.8595459726394
279,,,,,,,,0.3874675034536163,943.2161993993994
280,,,,,,,,0.3873155581857961,946.5728528261595
281,,,,,,,,0.3871591098131655,949.9295062529196
282,,,,,,,,0.3869980473088817,953.2861596796797
283,,,,,,,,0.38683225754008915,956.6428131064398
284,,,,,,,,0.3866616252436878,959.9994665331999
285,,,,,,,,0.3864860330021887,963.35611995996
286,,,,,,,,0.38630536121966763,966.7127733867201
287,,,,,,,,0.3861194880978264,970.0694268134802
288,,,,,,,,0.38592828961217485,973.4260802402403
289,,,,,,,,0.38573163948834255,976.7827336670003
290,,,,,,,,0.3855294091785342,980.1393870937604
291,,,,,,,,0.3853214678381375,983.4960405205205
292,,,,,,,,0.3851076823024982,986.8526939472806
293,,,,,,,,0.38488791706387243,990.2093473740407
294,,,,,,,,0.38466203424856926,993.5660008008008
295,,,,,,,,0.38442989359429575,996.9226542275609
296,,,,,,,,0.38419135242771796,1000.279307654321
297,,,,,,,,0.38394626564224926,1003.6359610810811
298,,,,,,,,0.3836944856760806,1006.9926145078412
299,,,,,,,,0.3834358624904647,1010.3492679346012
300,,,,,,,,0.3831702435482684,1013.7059213613613
301,,,,,,,,0.38289747379280686,1017.0625747881214
302,,,,,,,,0.3826173956269725,1020.4192282148815
303,,,,,,,,0.38232984889267413,1023.7758816416416
304,,,,,,,,0.3820346708505993,1027.132535068402
305,,,,,,,,0.38173169616031477,1030.489188495162
306,,,,,,,,0.3814207568607202,1033.845841921922
307,,,,,,,,0.38110168235086844,1037.202495348682
308,,,,,,,,0.3807742993711694,1040.5591487754423
309,,,,,,,,0.38043843198499083,1043.9158022022023
310,,,,,,,,0.38009390156067235,1047.2724556289625
311,,,,,,,,0.37974052675396847,1050.6291090557224
312,,,,,,,,0.37937812349093536,1053.9857624824826
313,,,,,,,,0.37900650495127836,1057.3424159092426
314,,,,,,,,0.37862548155217535,1060.6990693360028
315,,,,,,,,0.3782348609325932,1064.0557227627628
316,,,,,,,,0.377834447938113,1067.412376189523
317,,,,,,,,0.3774240446062809,1070.769029616283
318,,,,,,,,0.3770034501525015,1074.1256830430432
319,,,,,,,,0.3765724609564904,1077.4823364698032
320,,,,,,,,0.3761308705493037,1080.8389898965634
321,,,,,,,,0.3756784696009607,1084.1956433233236
322,,,,,,,,0.37521504590867816,1087.5522967500835
323,,,,,,,,0.37474038438573315,1090.9089501768437
324,,,,,,,,0.37425426705097253,1094.2656036036037
325,,,,,,,,0.37375647301898696,1097.622257030364
326,,,,,,,,0.373246778490967,1100.978910457124
327,,,,,,,,0.37272495674626044,1104.335563883884
328,,,,,,,,0.37219077813464807,1107.692217310644
329,,,,,,,,0.37164401006935704,1111.0488707374043
330,,,,,,,,0.3710844170208307,1114.4055241641643
331,,,,,,,,0.37051176051127266,1117.7621775909245
332,,,,,,,,0.3699257991099846,1121.1188310176844
333,,,,,,,,0.36932628842951715,1124.4754844444446
334,,,,,,,,0.368712981122652,1127.8321378712046
335,,,,,,,,0.36808562688023505,1131.1887912979648
336,,,,,,,,0.3674439724298803,1134.5454447247248
337,,,,,,,,0.36678776153556253,1137.902098151485
338,,,,,,,,0.3661167349981203,1141.258751578245
339,,,,,,,,0.36543063065668696,1144.6154050050052
340,,,,,,,,0.3647291833910709,1147.9720584317652
341,,,,,,,,0.3640121251251036,1151.3287118585254
342,,,,,,,,0.36327918483097693,1154.6853652852853
343,,,,,,,,0.36253008853458735,1158.0420187120455
344,,,,,,,,0.3617645593219101,1161.3986721388055
345,,,,,,,,0.36098231734642056,1164.7553255655657
346,,,,,,,,0.36018307983758524,1168.1119789923257
347,,,,,,,,0.3593665611104405,1171.468632419086
348,,,,,,,,0.3585324725762822,1174.8252858458459
349,,,,,,,,0.3576805227544826,1178.181939272606
350,,,,,,,,0.35681041728545965,1181.538592699366
351,,,,,,,,0.3559218589448143,1184.8952461261263
352,,,,,,,,0.3550145476586608,1188.2518995528865
353,,,,,,,,0.35408818052016566,1191.6085529796464
354,,,,,,,,0.3531424518073213,1194.9652064064067
